term	corpus_freq	category
בבב	12569	repeat_letter
אאא	700	repeat_letter
ייי	417	repeat_letter
ךב	385	final_midword
ךד	345	final_midword
ךג	337	final_midword
ךא	286	final_midword
ךו	284	final_midword
ךט	265	final_midword
ךז	264	final_midword
קקק	256	repeat_letter
ךה	248	final_midword
ךח	215	final_midword
ששש	192	repeat_letter
דדד	171	repeat_letter
קדםיי	143	final_midword
תתת	134	repeat_letter
ההה	87	repeat_letter
מממ	83	repeat_letter
ללל	69	repeat_letter
לםרבה	60	final_midword
מסימןרה	56	final_midword
מןקדם	52	final_midword
פפפ	42	repeat_letter
ןית	38	final_midword
קךט	38	final_midword
קךז	36	final_midword
ןיקרא	35	final_midword
םל	30	final_midword
ןעל	30	final_midword
קךב	30	final_midword
ןלא	27	final_midword
צצצ	26	repeat_letter
ןארי	25	final_midword
ןל	25	final_midword
קךג	25	final_midword
ןמ	24	final_midword
קךא	24	final_midword
אאאאא	23	repeat_letter
מסימןק	23	final_midword
ןזמנא	23	final_midword
סימןים	23	final_midword
קךו	22	final_midword
ןו	21	final_midword
קךה	19	final_midword
דםל	18	final_midword
קךד	17	final_midword
סךג	16	final_midword
ססס	16	repeat_letter
קךח	16	final_midword
תופסימןן	16	final_midword
דמסימןק	15	final_midword
ןוית	15	final_midword
סימןי	15	final_midword
בםד	13	final_midword
המפורסימןם	13	final_midword
מלםרבה	13	final_midword
םא	12	final_midword
ןלך	12	final_midword
סימןדור	12	final_midword
רךח	12	final_midword
בךד	11	final_midword
הou	11	mixed
להוסימןף	11	final_midword
םה	11	final_midword
מסימןיע	11	final_midword
ןולא	11	final_midword
שךח	11	final_midword
דרבנןא	10	final_midword
הוסימןף	10	final_midword
ומסימןק	10	final_midword
כלוםא	10	final_midword
ליוחסימןן	10	final_midword
מךד	10	final_midword
ןדי	10	final_midword
ןזה	10	final_midword
ןחקרא	10	final_midword
ןמן	10	final_midword
ןקדם	10	final_midword
סימןדר	10	final_midword
רךז	10	final_midword
אאאא	9	repeat_letter
אםלא	9	final_midword
גםגא	9	final_midword
דלםרבה	9	final_midword
הךב	9	final_midword
הסימןדור	9	final_midword
םג	9	final_midword
םו	9	final_midword
מןה	9	final_midword
מסימןרת	9	final_midword
ןי	9	final_midword
ןלמ	9	final_midword
סופריםא	9	final_midword
שףגא	9	final_midword
אדםא	8	final_midword
ברךגא	8	final_midword
גגג	8	repeat_letter
החסימןד	8	final_midword
השםא	8	final_midword
חףגה	8	final_midword
כןא	8	final_midword
כףגיא	8	final_midword
להפסימןד	8	final_midword
לקמןה	8	final_midword
משןם	8	final_midword
ןה	8	final_midword
ןח	8	final_midword
ןלה	8	final_midword
סןף	8	final_midword
קידושיןא	8	final_midword
קףגד	8	final_midword
רךב	8	final_midword
רךג	8	final_midword
בךב	7	final_midword
בךה	7	final_midword
דמסימןיע	7	final_midword
וווו	7	repeat_letter
וךד	7	final_midword
וסימןים	7	final_midword
חןגג	7	final_midword
חסימןדות	7	final_midword
כשריםא	7	final_midword
םד	7	final_midword
םז	7	final_midword
םט	7	final_midword
מc	7	mixed
מאמינךא	7	final_midword
מוסימןף	7	final_midword
מסימןת	7	final_midword
ןא	7	final_midword
ןאם	7	final_midword
ןיי	7	final_midword
סחףגא	7	final_midword
סימןלוק	7	final_midword
סימניםב	7	final_midword
סךח	7	final_midword
סןגא	7	final_midword
עםא	7	final_midword
פסימןל	7	final_midword
פץגא	7	final_midword
קםגב	7	final_midword
קץגו	7	final_midword
שךא	7	final_midword
שסימןדר	7	final_midword
שסימןדרו	7	final_midword
אחריםב	6	final_midword
אםגג	6	final_midword
אנוסימןם	6	final_midword
בךג	6	final_midword
במטלטליןא	6	final_midword
בנכסימןם	6	final_midword
בסימןדור	6	final_midword
גדףגא	6	final_midword
