term	corpus_freq
word	1639
the	1617
to	1464
of	1302
seif	1185
is	1139
and	978
in	950
it	873
that	844
on	781
for	732
not	724
be	667
if	640
with	622
or	575
this	546
comment	521
one	514
are	487
there	441
can	427
as	421
from	420
an	386
shabbos	372
have	362
should	362
by	357
we	339
sheilta	336
do	328
would	320
berkovits	316
even	312
wrote	311
you	302
he	301
when	301
they	289
no	287
may	284
which	281
was	274
only	270
at	266
nahar	266
does	263
since	260
then	257
but	253
however	252
what	247
also	243
so	240
because	237
who	227
will	221
has	218
see	218
his	213
speaking	212
halachically	207
all	203
make	203
them	197
like	195
other	193
before	192
ot	191
out	189
any	186
say	184
rav	179
after	176
therefore	173
png	168
just	167
being	163
says	158
than	158
use	157
two	155
though	151
used	151
where	150
such	148
made	146
up	146
case	145
question	145
into	144
considered	141
she	141
according	137
its	137
gemara	135
her	135
about	134
people	134
permitted	134
more	133
water	133
raster	132
how	130
their	129
during	128
here	125
woman	125
must	124
first	121
could	120
time	120
him	119
why	119
still	115
without	114
person	112
regarding	112
some	111
need	110
cannot	105
reason	105
answer	104
another	103
food	103
said	101
same	101
did	100
get	100
our	100
plant	100
way	100
between	99
my	99
rashi	99
rather	99
place	98
both	97
although	94
take	94
problem	91
well	91
different	90
doing	88
very	88
done	86
us	86
were	86
yes	86
had	85
back	84
off	84
your	84
over	83
part	83
been	82
making	81
oz	81
put	81
tosfos	81
wife	81
three	79
fl	78
know	78
order	78
second	78
thus	77
dh	76
eat	76
give	76
rebbi	76
whether	76
while	76
become	75
these	75
through	75
already	74
cover	74
don	74
opinion	74
torah	74
non	73
someone	73
means	72
explains	71
go	71
might	71
mishnah	71
principle	71
end	70
ivf	70
ones	70
those	70
under	70
until	70
own	69
prohibited	69
many	68
too	68
apply	67
days	67
each	67
new	67
similar	67
possible	66
yom	65
included	64
minhag	64
seems	64
using	64
answers	63
husband	63
yh	63
something	62
light	61
aruch	60
certainly	60
daf	60
halachah	60
most	60
clear	59
day	59
yevamos	59
applies	58
once	58
page	58
difference	57
holds	57
long	57
moshe	57
type	57
wine	57
regard	56
rishonim	56
beis	55
hot	55
music	55
saying	55
above	54
allowed	54
iui	54
night	54
now	54
point	54
act	53
actually	53
asked	53
based	53
de	53
find	53
words	53
year	53
ask	52
better	52
later	52
number	52
referring	52
right	52
fact	51
man	51
milk	51
poskim	51
want	51
free	50
house	50
isur	50
mitzvah	50
status	50
text	50
example	49
nevertheless	49
pesach	49
pgd	49
really	49
think	49
able	48
child	48
children	48
down	48
every	48
footnotes	48
front	48
