abbreviation,expands_to,ambiguous,n_words,keep
"שו""ע",שולחן ערוך,,2,Y
"אבהע""ז",אבן העזר,,2,Y
"או""ח",אורח חיים,,2,Y
"חו""מ",חושן משפט,,2,Y
"יו""ד",יורה דעה,,2,Y
"פנ""י",פני יהושע,,2,Y
"א""א",אשל אברהם,,2,Y
"אבה""ע",אבן העזר,,2,Y
"אבע""ז",אבן עזרא,,2,Y
"אד""ז",אדרא זוטא,,2,Y
"אה""ע",אבן העזר,,2,Y
"אהע""ז",אבן העזר,,2,Y
"אוה""ח",אור החיים,,2,Y
"אור""ח",אורח חיים,,2,Y
ארבעה טורים,טור,,1,Y
"באה""ג",באר הגולה,,2,Y
"ב""ב",בבא בתרא,,2,Y
"בהגר""א",ביאור הגרא,,2,Y
"ב""י",בית יוסף,,2,Y
"ביאוה""ג",ביאור הגרא,,2,Y
"ביהגר""א",ביאור הגרא,,2,Y
"ביה""ל",בית הלוי,,2,Y
"ב""מ",בבא מציעא,,2,Y
"במדב""ר",במדבר רבה,,2,Y
"במ""ח",באר מים חיים,,3,Y
"במ""ר",במדבר רבה,,2,Y
"בעה""ט",בעל הטורים,,2,Y
"ב""ק",בבא קמא,,2,Y
"ב""ר",בראשית רבה,,2,Y
"בר""ר",בראשית רבה,,2,Y
"ב""ש",בית שמואל,,2,Y
"דב""ר",דברים רבה,,2,Y
"דה""י",דברי הימים,,2,Y
"ד""מ",דגול מרבבה | דרכי משה,YES,2,Y
"דמ""ר",דגול מרבבה,,2,Y
דרך ה',דרך השם,,2,Y
דרך פיקודיך,דרך פקודיך,,2,Y
"דר""מ",דרכי משה,,2,Y
"דר""פ",דרך פקודיך,,2,Y
"האריז""ל",הארי,,1,Y
הגהות מיימוני,הגהות מיימוניות,,2,Y
הגהות מימוניות,הגהות מיימוניות,,2,Y
"הגה""מ",הגהות מיימוניות,,2,Y
"הג""מ",הגהות מיימוניות,,2,Y
"ויק""ר",ויקרא רבה,,2,Y
"וי""ר",ויקרא רבה,,2,Y
"זה""ח",זוהר חדש,,2,Y
"זוה""ח",זוהר חדש,,2,Y
"ז""ח",זוהר חדש,,2,Y
"חו""ד",חוות דעת,,2,Y
"חוה""ל",חובת הלבבות,,2,Y
"חוו""ד",חוות דעת,,2,Y
"ח""ח",חפץ חיים,,2,Y
"חת""ס",חתם סופר,,2,Y
יד החזקה,משנה תורה,,2,Y
"יו""ט",יום טוב,,2,Y
"יור""ד",יורה דעה,,2,Y
"ילקוט",ילקוט שמעוני,,2,Y
"ילקו""ש",ילקוט שמעוני,,2,Y
"ילק""ש",ילקוט שמעוני,,2,Y
"ירוש'",ירושלמי,,1,Y
"כו""פ",כרתי ופלתי,,2,Y
"כ""פ",כרתי ופלתי,,2,Y
"כרו""פ",כרתי ופלתי,,2,Y
"כת""ס",כתב סופר,,2,Y
"לח""מ",לחם משנה,,2,Y
ליקוטי אמרים,תניא,,1,Y
"מאו""ש",מאור ושמש,,2,Y
"מ""ב",משנה ברורה,,2,Y
"משנ""ב",משנה ברורה,,2,Y
"מג""א",מגיני ארץ | מגן אברהם,YES,2,Y
"מג""מ",מגיד משנה,,2,Y
"מ""מ",מגיד משנה,,2,Y
"מד'",מדרש,,1,Y
"מד""ת",מדרש תהלים,,2,Y
"מהרש""א",חדושי אגדות | חדושי הלכות,YES,2,Y
"מו""נ",מורה נבוכים,,2,Y
"מ""ז",משבצות זהב,,2,Y
"משב""ז",משבצות זהב,,2,Y
"מס""י",מסילת ישרים,,2,Y
"מקו""ח",מקור חיים,,2,Y
"מרד'",מרדכי,,1,Y
