sortPosition,sortYear,precision,source,db,bookId,title,authorsField,matchedOn,rootCategory,categoryPath
1,-1312,0,canonical-work,v1,1,בראשית,,traditional date,תנ״ך,תנ״ך / תורה
2,-1312,0,canonical-work,v1,2,שמות,,traditional date,תנ״ך,תנ״ך / תורה
3,-1312,0,canonical-work,v1,3,ויקרא,,traditional date,תנ״ך,תנ״ך / תורה
4,-1312,0,canonical-work,v1,4,במדבר,,traditional date,תנ״ך,תנ״ך / תורה
5,-1312,0,canonical-work,v1,5,דברים,,traditional date,תנ״ך,תנ״ך / תורה
6,-1312,0,canonical-work,v1,29,איוב,,traditional date,תנ״ך,תנ״ך / כתובים
7,-1312,0,canonical-work,v2,1,בראשית,,traditional date,תנ״ך,תנ״ך / תורה
8,-1312,0,canonical-work,v2,2,שמות,,traditional date,תנ״ך,תנ״ך / תורה
9,-1312,0,canonical-work,v2,3,ויקרא,,traditional date,תנ״ך,תנ״ך / תורה
10,-1312,0,canonical-work,v2,4,במדבר,,traditional date,תנ״ך,תנ״ך / תורה
11,-1312,0,canonical-work,v2,5,דברים,,traditional date,תנ״ך,תנ״ך / תורה
12,-1312,0,canonical-work,v2,29,איוב,,traditional date,תנ״ך,תנ״ך / כתובים
13,-1245,0,canonical-work,v1,6,יהושע,,traditional date,תנ״ך,תנ״ך / נביאים
14,-1245,0,canonical-work,v2,6,יהושע,,traditional date,תנ״ך,תנ״ך / נביאים
15,-1000,0,canonical-work,v1,7,שופטים,,traditional date,תנ״ך,תנ״ך / נביאים
16,-1000,0,canonical-work,v2,7,שופטים,,traditional date,תנ״ך,תנ״ך / נביאים
17,-931,0,canonical-work,v1,8,שמואל א,,traditional date,תנ״ך,תנ״ך / נביאים
18,-931,0,canonical-work,v1,9,שמואל ב,,traditional date,תנ״ך,תנ״ך / נביאים
19,-931,0,canonical-work,v1,27,רות,,traditional date,תנ״ך,תנ״ך / כתובים
20,-931,0,canonical-work,v1,28,תהילים,,traditional date,תנ״ך,תנ״ך / כתובים
21,-931,0,canonical-work,v2,8,שמואל א,,traditional date,תנ״ך,תנ״ך / נביאים
22,-931,0,canonical-work,v2,9,שמואל ב,,traditional date,תנ״ך,תנ״ך / נביאים
23,-931,0,canonical-work,v2,27,רות,,traditional date,תנ״ך,תנ״ך / כתובים
24,-931,0,canonical-work,v2,28,תהילים,,traditional date,תנ״ך,תנ״ך / כתובים
25,-928,0,canonical-work,v1,30,משלי,,traditional date,תנ״ך,תנ״ך / כתובים
26,-928,0,canonical-work,v1,31,שיר השירים,,traditional date,תנ״ך,תנ״ך / כתובים
27,-928,0,canonical-work,v1,32,קהלת,,traditional date,תנ״ך,תנ״ך / כתובים
28,-928,0,canonical-work,v2,30,משלי,,traditional date,תנ״ך,תנ״ך / כתובים
29,-928,0,canonical-work,v2,31,שיר השירים,,traditional date,תנ״ך,תנ״ך / כתובים
30,-928,0,canonical-work,v2,32,קהלת,,traditional date,תנ״ך,תנ״ך / כתובים
31,-800,0,canonical-work,v1,16,יואל,,traditional date,תנ״ך,תנ״ך / נביאים
32,-800,0,canonical-work,v2,16,יואל,,traditional date,תנ״ך,תנ״ך / נביאים
33,-780,0,canonical-work,v1,19,יונה,,traditional date,תנ״ך,תנ״ך / נביאים
34,-780,0,canonical-work,v2,19,יונה,,traditional date,תנ״ך,תנ״ך / נביאים
35,-765,0,canonical-work,v1,17,עמוס,,traditional date,תנ״ך,תנ״ך / נביאים
36,-765,0,canonical-work,v2,17,עמוס,,traditional date,תנ״ך,תנ״ך / נביאים
37,-750,0,canonical-work,v1,15,הושע,,traditional date,תנ״ך,תנ״ך / נביאים
38,-750,0,canonical-work,v2,15,הושע,,traditional date,תנ״ך,תנ״ך / נביאים
39,-737,0,canonical-work,v1,20,מיכה,,traditional date,תנ״ך,תנ״ך / נביאים
40,-737,0,canonical-work,v2,20,מיכה,,traditional date,תנ״ך,תנ״ך / נביאים
41,-698,0,canonical-work,v1,12,ישעיהו,,traditional date,תנ״ך,תנ״ך / נביאים
42,-698,0,canonical-work,v2,12,ישעיהו,,traditional date,תנ״ך,תנ״ך / נביאים
43,-680,0,canonical-work,v1,21,נחום,,traditional date,תנ״ך,תנ״ך / נביאים
44,-680,0,canonical-work,v2,21,נחום,,traditional date,תנ״ך,תנ״ך / נביאים
45,-640,0,canonical-work,v1,22,חבקוק,,traditional date,תנ״ך,תנ״ך / נביאים
46,-640,0,canonical-work,v2,22,חבקוק,,traditional date,תנ״ך,תנ״ך / נביאים
47,-630,0,canonical-work,v1,23,צפניה,,traditional date,תנ״ך,תנ״ך / נביאים
48,-630,0,canonical-work,v2,23,צפניה,,traditional date,תנ״ך,תנ״ך / נביאים
49,-586,0,canonical-work,v1,13,ירמיהו,,traditional date,תנ״ך,תנ״ך / נביאים
50,-586,0,canonical-work,v1,18,עובדיה,,traditional date,תנ״ך,תנ״ך / נביאים
51,-586,0,canonical-work,v1,33,איכה,,traditional date,תנ״ך,תנ״ך / כתובים
52,-586,0,canonical-work,v2,13,ירמיהו,,traditional date,תנ״ך,תנ״ך / נביאים
53,-586,0,canonical-work,v2,18,עובדיה,,traditional date,תנ״ך,תנ״ך / נביאים
54,-586,0,canonical-work,v2,33,איכה,,traditional date,תנ״ך,תנ״ך / כתובים
55,-571,0,canonical-work,v1,14,יחזקאל,,traditional date,תנ״ך,תנ״ך / נביאים
56,-571,0,canonical-work,v2,14,יחזקאל,,traditional date,תנ״ך,תנ״ך / נביאים
57,-561,0,canonical-work,v1,10,מלכים א,,traditional date,תנ״ך,תנ״ך / נביאים
58,-561,0,canonical-work,v1,11,מלכים ב,,traditional date,תנ״ך,תנ״ך / נביאים
59,-561,0,canonical-work,v2,10,מלכים א,,traditional date,תנ״ך,תנ״ך / נביאים
60,-561,0,canonical-work,v2,11,מלכים ב,,traditional date,תנ״ך,תנ״ך / נביאים
61,-536,0,canonical-work,v1,35,דניאל,,traditional date,תנ״ך,תנ״ך / כתובים
62,-536,0,canonical-work,v2,35,דניאל,,traditional date,תנ״ך,תנ״ך / כתובים
63,-520,0,canonical-work,v1,24,חגי,,traditional date,תנ״ך,תנ״ך / נביאים
64,-520,0,canonical-work,v1,25,זכריה,,traditional date,תנ״ך,תנ״ך / נביאים
65,-520,0,canonical-work,v2,24,חגי,,traditional date,תנ״ך,תנ״ך / נביאים
66,-520,0,canonical-work,v2,25,זכריה,,traditional date,תנ״ך,תנ״ך / נביאים
67,-518,0,canonical-work,v1,26,מלאכי,,traditional date,תנ״ך,תנ״ך / נביאים
68,-518,0,canonical-work,v2,26,מלאכי,,traditional date,תנ״ך,תנ״ך / נביאים
69,-355,0,canonical-work,v1,34,אסתר,,traditional date,תנ״ך,תנ״ך / כתובים
70,-355,0,canonical-work,v2,34,אסתר,,traditional date,תנ״ך,תנ״ך / כתובים
71,-348,0,canonical-work,v1,36,עזרא,,traditional date,תנ״ך,תנ״ך / כתובים
72,-348,0,canonical-work,v1,37,נחמיה,,traditional date,תנ״ך,תנ״ך / כתובים
73,-348,0,canonical-work,v1,38,דברי הימים א,,traditional date,תנ״ך,תנ״ך / כתובים
74,-348,0,canonical-work,v1,39,דברי הימים ב,,traditional date,תנ״ך,תנ״ך / כתובים
75,-348,0,canonical-work,v2,36,עזרא,,traditional date,תנ״ך,תנ״ך / כתובים
76,-348,0,canonical-work,v2,37,נחמיה,,traditional date,תנ״ך,תנ״ך / כתובים
77,-348,0,canonical-work,v2,38,דברי הימים א,,traditional date,תנ״ך,תנ״ך / כתובים
78,-348,0,canonical-work,v2,39,דברי הימים ב,,traditional date,תנ״ך,תנ״ך / כתובים
79,-180,0,author-year,v1,2313,בן סירא,בן סירא,בן סירא,בית שני,בית שני / ספרים חיצונים
80,-180,0,author-year,v2,3134,בן סירא,בן סירא,בן סירא,בית שני,בית שני / ספרים חיצונים
81,-150,0,canonical-work,v1,2315,ספר יהודית,,traditional date,בית שני,בית שני / ספרים חיצונים
82,-150,0,canonical-work,v2,3131,ספר יהודית,,traditional date,בית שני,בית שני / ספרים חיצונים
83,-150,0,canonical-work,v2,7262,תוספות למגלת אסתר,,traditional date,בית שני,בית שני / ספרים חיצונים
84,-100,0,canonical-work,v1,2314,ספר שושנה,,traditional date,בית שני,בית שני / ספרים חיצונים
85,-100,0,canonical-work,v1,2316,ספר מקבים א (תרגום כהנא),,traditional date,בית שני,בית שני / ספרים חיצונים
86,-100,0,canonical-work,v1,2318,ספר מקבים א,,traditional date,בית שני,בית שני / ספרים חיצונים
87,-100,0,canonical-work,v2,3132,ספר מקבים א,,traditional date,בית שני,בית שני / ספרים חיצונים
88,-100,0,canonical-work,v2,3135,ספר מקבים א (תרגום כהנא),,traditional date,בית שני,בית שני / ספרים חיצונים
89,-100,0,canonical-work,v2,3136,ספר שושנה,,traditional date,בית שני,בית שני / ספרים חיצונים
90,-100,0,canonical-work,v2,7261,חכמת שלמה,,traditional date,בית שני,בית שני / ספרים חיצונים
91,-50,0,canonical-work,v1,283,מגילת תענית,,traditional date,בית שני,בית שני
92,-50,0,canonical-work,v2,283,מגילת תענית,,traditional date,בית שני,בית שני
93,50,0,canonical-work,v1,5301,תרגום יונתן על מלכים א,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
94,50,0,canonical-work,v1,5302,תרגום יונתן על חגי,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
95,50,0,canonical-work,v1,5303,תרגום יונתן על יואל,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
96,50,0,canonical-work,v1,5304,תרגום יונתן על שמואל א,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
97,50,0,canonical-work,v1,5305,תרגום יונתן על צפניה,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
98,50,0,canonical-work,v1,5306,תרגום יונתן על נחום,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
99,50,0,canonical-work,v1,5307,תרגום יונתן על מיכה,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
100,50,0,canonical-work,v1,5308,תרגום יונתן על זכריה,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
101,50,0,canonical-work,v1,5309,תרגום יונתן על חבקוק,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
102,50,0,canonical-work,v1,5310,תרגום יונתן על מלכים ב,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
103,50,0,canonical-work,v1,5311,תרגום יונתן על יהושע,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
104,50,0,canonical-work,v1,5312,תרגום יונתן על הושע,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
105,50,0,canonical-work,v1,5313,תרגום יונתן על מלאכי,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
106,50,0,canonical-work,v1,5314,תרגום יונתן על יונה,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
107,50,0,canonical-work,v1,5315,תרגום יונתן על שמואל ב,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
108,50,0,canonical-work,v1,5316,תרגום יונתן על עמוס,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
109,50,0,canonical-work,v1,5317,תרגום יונתן על שופטים,,traditional date,תנ״ך,תנ״ך / תרגומים / תרגום יונתן / נביאים
