aramaic,hebrew,score,verses
ליששכר,ליששכר,2.0000,3
נתנאל,נתנאל,2.0000,10
אחירע,אחירע,2.0000,10
רעואל,רעואל,2.0000,14
ומררי,ומררי,2.0000,6
ושמעי,ושמעי,2.0000,7
ועזיאל,ועזיאל,2.0000,4
ומושי,ומושי,2.0000,4
לגרשונ,לגרשונ,2.0000,4
אליצפנ,אליצפנ,2.0000,4
למררי,למררי,2.0000,4
ידר,ידר,2.0000,4
וככל,וככל,2.0000,4
אלדד,אלדד,2.0000,3
עמיאל,עמיאל,2.0000,5
אחימנ,אחימנ,2.0000,4
וכלב,וכלב,2.0000,4
ודתנ,ודתנ,2.0000,6
מישראל,מישראל,2.0000,28
ואלעזר,ואלעזר,2.0000,19
מידבא,מידבא,2.0000,5
עלתכ,עלתכ,2.0000,6
כזבי,כזבי,2.0000,4
לזרח,לזרח,2.0000,4
ואוננ,ואוננ,2.0000,4
תולע,תולע,2.0000,5
למכיר,למכיר,2.0000,5
ומכיר,ומכיר,2.0000,3
ושכמ,ושכמ,2.0000,4
צלפחד,צלפחד,2.0000,14
ותרצה,ותרצה,2.0000,5
ונעמנ,ונעמנ,2.0000,5
אביהוא,אביהוא,2.0000,4
הרנ,הרנ,2.0000,11
ממרה,ממרה,2.0000,4
דבלתימה,דבלתימה,2.0000,4
כסלונ,כסלונ,2.0000,3
קמואל,קמואל,2.0000,4
פלטיאל,פלטיאל,2.0000,3
ולאדמ,ולאדמ,2.0000,4
למכ,למכ,2.0000,16
וצלה,וצלה,2.0000,4
קיננ,קיננ,2.0000,10
מהללאל,מהללאל,2.0000,10
מתושלח,מתושלח,2.0000,10
ונשי,ונשי,2.0000,8
ומשכ,ומשכ,2.0000,3
ויונ,ויונ,2.0000,4
וכנענ,וכנענ,2.0000,4
וארפכשד,וארפכשד,2.0000,6
יובב,יובב,2.0000,7
ארפכשד,ארפכשד,2.0000,6
שרוג,שרוג,2.0000,8
תרח,תרח,2.0000,14
בחרנ,בחרנ,2.0000,4
ואברמ,ואברמ,2.0000,6
ולוט,ולוט,2.0000,8
ואברהמ,ואברהמ,2.0000,16
ושרה,ושרה,2.0000,6
לשרה,לשרה,2.0000,8
בגרר,בגרר,2.0000,4
לאבימלכ,לאבימלכ,2.0000,6
יחידכ,יחידכ,2.0000,6
לנחור,לנחור,2.0000,6
ובתואל,ובתואל,2.0000,4
ורגלי,ורגלי,2.0000,3
בארי,בארי,2.0000,3
יהודית,יהודית,2.0000,6
לוז,לוז,2.0000,4
לרחל,לרחל,2.0000,10
בפדנ,בפדנ,2.0000,6
שלחתני,שלחתני,2.0000,4
פנואל,פנואל,2.0000,6
ושמעונ,ושמעונ,2.0000,6
צבעונ,צבעונ,2.0000,8
