# self-lemma overrides (wrong-register capture blocked)
אחשדרפניא
אלהה
אלהך
אמיא
ארגונא
אריותא
בגוה
בהון
גלותא
דירין
הקימת
וארו
והמניכא
ויסגד
וכנותהון
ולשניא
ומטל
ושחיתה
ושמשי
זני
חכימי
חכמתא
יחלפון
יצטבע
ישגא
יתרמא
כתבה
כתורין
לחכימי
לעלמין
מדינת
מהודעין
מלת
מלתא
משרוקיתא
סגדין
סגניא
סופא
סרכיא
עבידת
עדנין
עליונין
פסנתרין
קריתא
שבכא
שבקו
שרשוהי
תהוא
תלתה
# proclitic folds (surface -> lemma)
אלהא	אלה
אלפא	אלף
באדין	אדין
באלהה	אלהים
באלהינו	אלהים
בארעא	ארעא
בבליא	בבל
בחסף	חסף
ביהוד	יהוד
בירושלם	ירושלם
ביתא	בית
במדינת	מדינת
בנינא	בנין
בעדנא	עדנא
בראשה	ראש
בשרא	בשר
היכלא	היכל
ואחשדרפניא	אחשדרפניא
ואנש	אנש
וארעא	ארעא
וארתחששתא	ארתחששתא
ובארעא	ארעא
ובירושלם	בירושלם
ובמלכות	מלכות
וגבריא	גבר
ודהבא	דהבא
והוו	הוו
והשתכחת	השתכח
וחלמא	חלמא
ויקרה	יקרה
וכנמא	כן
וכען	כען
ולאלהי	אלהים
ולירושלם	לירושלם
ועדנין	עדן
ופרס	פרס
וקריתא	קריתא
ושנין	שנין
ושפטיה	שפטיה
ותלתה	שלוש
חיותא	חיות
חייא	חייא
חכימיא	חכם
חלמא	חלם
חספא	חסף
טעמא	טעם
יהודיא	יהוד
כדנה	דנה
כהנא	כהן
כחדה	חדה
כספא	כסף
כתבא	כתב
כתורין	שור
לאחשדרפניא	אחשדרפניא
לאלהך	אלהים
להוא	הוה
להוה	הוה
לחיותא	חיותא
לחכימי	חכם
לירושלם	ירושלם
לנבכדנצר	נבכדנצר
לעבידת	עבידת
לשמיא	שמיא
מאלהינו	אלהים
מדינתא	מדינת
מהגולה	הגולה
מלכא	מלך
מלכותא	מלכות
מלכיא	מלך
משבי	שבי
משנים	שנים
נהרא	נהר
סופא	סוף
ספרא	ספר
עבידתא	עבידת
עלמא	עלם
עלמיא	עלם
פרזלא	פרזל
קדמיא	קדם
קריתא	קרית
קרנא	קרן
רבותא	רבות
רגליא	רגל
שלטניא	שלטן
שמשא	שמש
